run_id,filename,dataset,label,channel,score,confidence,snr_db,effective_bandwidth_hz,noise_floor_dbfs,spectral_centroid_hz,crest_factor_db,speech_level_dbfs,clipping_fraction,duration_s,checkpoint,frozen_commit
correlation,LA_E_1000147,asvspoof,spoof,studio,0.999658,0.816667,23.707339,3500.000000,-35.729095,1530.363570,17.899525,-12.021756,0.000020,3.180500,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1000273,asvspoof,spoof,studio,0.999724,0.716667,43.089664,5700.000000,-54.396674,1747.830304,18.770901,-11.307010,0.000030,2.061625,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1000791,asvspoof,spoof,studio,0.999467,0.016667,29.473129,1300.000000,-37.846178,799.291536,14.549699,-8.373049,0.000042,1.490375,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1000841,asvspoof,spoof,studio,0.999754,0.966667,109.720771,4100.000000,-120.000000,1679.367588,15.262524,-10.279229,0.000015,4.146625,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1000989,asvspoof,spoof,studio,0.999713,1.000000,36.254131,3500.000000,-52.412074,1584.374014,23.165966,-16.157943,0.000028,2.218062,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1001227,asvspoof,spoof,studio,0.999505,0.083333,31.382707,1750.000000,-44.191185,1215.757456,19.069436,-12.808478,0.000017,3.769500,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1001232,asvspoof,spoof,studio,0.999726,1.000000,48.083735,6850.000000,-58.030867,2252.317873,17.666302,-9.947132,0.000024,2.555250,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1001320,asvspoof,spoof,studio,0.999660,0.550000,42.088725,1350.000000,-51.253071,732.031045,15.401056,-9.164346,0.000016,3.905438,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1001476,asvspoof,spoof,studio,0.999706,1.000000,62.595836,3350.000000,-73.572644,1279.768873,17.738123,-10.976808,0.000018,3.498000,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1001893,asvspoof,spoof,studio,0.999730,0.916667,55.945109,2900.000000,-68.083269,1386.558628,17.802243,-12.138160,0.000025,2.477063,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1001964,asvspoof,spoof,studio,0.999724,1.000000,25.521149,2950.000000,-38.174040,1287.578438,17.655765,-12.652891,0.000009,6.609813,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1001976,asvspoof,spoof,studio,0.999685,0.066667,47.273554,2600.000000,-62.605119,1542.961360,22.386921,-15.331565,0.000015,4.226500,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1002073,asvspoof,spoof,studio,0.999753,1.000000,40.556509,3550.000000,-50.781776,1482.821979,15.822882,-10.225268,0.000099,1.267000,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1002282,asvspoof,spoof,studio,0.999655,0.600000,44.168392,3650.000000,-58.248913,1572.315604,21.463184,-14.080522,0.000028,2.251688,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1002394,asvspoof,spoof,studio,0.999757,0.716667,44.727043,2700.000000,-55.135611,1131.864413,14.467182,-10.408569,0.000072,0.862187,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1002474,asvspoof,spoof,studio,0.999353,0.016667,30.563013,3050.000000,-45.244873,1276.284217,20.424679,-14.681860,0.000009,7.130438,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1002658,asvspoof,spoof,studio,0.999786,1.000000,46.859305,4250.000000,-57.221798,1632.132275,15.332591,-10.362494,0.000025,2.463563,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
correlation,LA_E_1002683,asvspoof,spoof,studio,0.999735,0.916667,44.880438,2200.000000,-60.829206,1030.138737,22.900413,-15.948768,0.000012,5.081625,Best_LA_model_for_DF.pth,c5cfdf4acd6f510a0f5f0ed918f5fe0d141d05b1
